============================================================================================================
                                     SMARTPHONE USAGE REPORT (Q3 2024)                                      
============================================================================================================

RK  COUNTRY              | USAGE (█=30m, ▒=5m, ░=blank)            | TOTAL TIME
-------------------------|----------------------------------------------------------------------------------
1   Ghana                | ███████████▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░ | 5 hours and 43 minutes
2   Philippines          | ██████████▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░ | 5 hours and 21 minutes
3   Brazil               | ██████████▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 5 hours and 12 minutes
4   South Africa         | ██████████▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 5 hours and 11 minutes
5   Thailand             | ██████████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 5 hours
6   Chile                | █████████▒▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░ | 4 hours and 58 minutes
7   Kenya                | █████████▒▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░ | 4 hours and 47 minutes
8   Colombia             | █████████▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 47 minutes
9   Malaysia             | █████████▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 42 minutes
10  Argentina            | █████████▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 40 minutes
11  Indonesia            | █████████▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 38 minutes
12  UAE                  | ████████▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 27 minutes
13  Mexico               | ████████▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 20 minutes
14  Saudi Arabia         | ████████▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 17 minutes
=15 Egypt                | ████████▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 9 minutes
=15 Taiwan               | ████████▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 9 minutes
17  Russia               | ████████▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 7 minutes
18  Turkey               | ████████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 4 hours and 4 minutes
19  India                | ███████▒▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 57 minutes
20  Israel               | ███████▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 53 minutes
21  Nigeria              | ███████▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 49 minutes
22  Bulgaria             | ███████▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 44 minutes
=23 Serbia               | ███████▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 40 minutes
=23 Romania              | ███████▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 40 minutes
25  Portugal             | ███████▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 38 minutes
26  China                | ███████▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 32 minutes
27  Morocco              | ███████▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 25 minutes
28  US                   | ███████▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 22 minutes
29  Croatia              | ███████▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 21 minutes
30  Vietnam              | ███████▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 20 minutes
31  Poland               | ███████▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 18 minutes
=32 New Zealand          | ███████▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 17 minutes
=32 Singapore            | ███████▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 17 minutes
34  Sweden               | ███████▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 13 minutes
35  Ireland              | ███████▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 11 minutes
36  Norway               | ██████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours and 2 minutes
37  Hungary              | ██████░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ | 3 hours
38  Australia            | █████▒▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 58 minutes
39  Netherlands          | █████▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 55 minutes
40  Czechia              | █████▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 55 minutes
=41 Hong Kong            | █████▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 54 minutes
=41 Italy                | █████▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 54 minutes
=41 Spain                | █████▒▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 54 minutes
44  Canada               | █████▒▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 46 minutes
45  Switzerland          | █████▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 44 minutes
=46 Greece               | █████▒▒▒▒▒▒▒▒░░░░░░░░░░░░░░░░░░░░░░░░░░ | 2 hours and 43 minutes
